Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
JNJ,2007-01-01,2012-06-30,5Y 6M 2D,0.5308275645916498,0.4514035364954453,2.8917840364978322,6,0.8333333333333334,0.16920404364861596,-0.01286037697929874,0.07523392274924089,0.09285278269494882,-0.01286037697929874,0.06599222787375456,0.05491979676776393,1.047594140502356,0.0,0.0,36.100334711965786,5.0,0.02378764428351428,2.792521604758528
SNY,2007-01-01,2018-09-30,11Y 9M 5D,0.665387527416738,0.6329443109978601,1.196344492281335,4,1.0,0.5792220026629638,0.004982836337580933,0.15823607774946502,0.15823607774946502,0.0,0.28080604642699,0.03041480026750576,4.457657792934438,0.0,0.0,63.29443109978601,4.0,9.305341207735487e-05,1.1270133229884467
WFC,2007-01-01,2020-09-30,13Y 9M 6D,1.1940956221964436,0.8509763825124135,0.9347333841528018,14,0.8571428571428571,0.3408860506861407,-0.00031157259749830125,0.06078402732231525,0.07095705827657169,-0.00025415840322342605,0.08855413980049243,0.04022513853720211,1.4057533888640994,0.0,0.04508990622400796,1675.1063284150703,6.0,0.00727377832997038,2.5682933100677605
UNP,2007-01-01,2009-12-31,3Y,0.4994500623580158,0.45454440852766326,11.570566411841925,3,1.0,0.33434674204127757,0.05137585097669573,0.15151480284255442,0.15151480284255442,0.0,0.15857720174412154,0.09771212619889758,2.517335036516782,0.0,0.0,45.454440852766325,3.0,0.026898337017781448,1.654912142071607
NSC,2007-01-01,2009-12-31,3Y,0.1644651510835098,0.15675102523253187,5.247990743260719,3,1.0,0.07924453170972057,0.03203823523628185,0.05225034174417729,0.05225034174417729,0.0,0.024322954152496024,0.03566226439626052,0.3861149270275817,0.0,0.0,15.675102523253187,3.0,0.014664712498556283,3.7207752827369838
ELV,2007-01-01,2010-03-31,3Y 3M,-0.4668365946852566,-0.565610931902763,6.045660306652196,5,0.0,-0.0017717514069776445,-0.22123518915735874,-0.1131221863805526,0.0,-0.1131221863805526,0.10596447247790652,-0.1251882603223866,1.6821338519081335,0.0,115.39216229506602,0.0,0.0,-0.09225678452778793,-2.387110439898204
UNH,2007-04-01,2010-03-31,3Y,-0.7556211514047689,-1.152164796713286,11.301690359865168,6,0.0,-0.00176922085155795,-0.43244817890810056,-0.192027466118881,0.0,-0.192027466118881,0.17808569655895432,-0.27694588118526564,2.8270227909162253,0.0,177.4115129664759,0.0,0.0,-0.10857566559829038,-2.641252597370334
USB,2007-04-01,2022-12-31,15Y 9M 1W 1D,0.6290418957477724,0.5378908721246874,0.7352993422461547,12,0.8333333333333334,0.29424581002705574,-0.009686556831501488,0.044824239343723954,0.05476627172405102,-0.004885922557911383,0.09168359859485765,0.021605724746124322,1.4554320071127858,-0.004911082036508252,-0.00040925683637568766,56.04496497327038,5.0,-0.0057675488877888745,1.6936041155416048
PG,2007-04-01,2008-12-31,1Y 9M 5D,0.026579795172370746,0.026579795172370746,2.8099162725730227,1,1.0,0.026579795172370746,0.026579795172370746,0.026579795172370746,0.026579795172370746,0.0,0.0,0.010382651069439142,0.0,0.0,0.0,2.6579795172370746,1.0,-1.9617348930560856,2.6579795172370746
BAC,2007-04-01,2023-03-31,16Y 3D,-0.6770127200834957,-0.4727120607492583,-0.20911928345493702,4,0.5,0.41908609233600713,-0.7276667207769842,-0.11817801518731458,0.20990514072394292,-0.4462611710985721,0.4748493573703272,-0.04757258304672751,7.537999858924329,0.0,2.6195739014186037,0.4703638907396184,1.0,-0.010290870854141551,-0.49774950035427545
