Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
JNJ,2007-11-28,2022-04-19,14Y 4M 3W 5D,1.4298288690909735,0.893443079809026,2.8917840364978322,81,1.0,0.030701731392894338,0.005514681574973035,0.011030161479123779,0.011030161479123779,0.0,0.0043332477497754355,0.04348570896714277,0.06878817549081627,0.0,0.0,89.3443079809026,81.0,0.19604690589508672,22.90924937704257
SNY,2008-01-09,2013-05-03,5Y 3M 3W 5D,1.1468069460529962,0.8038968727404796,1.196344492281335,8,1.0,0.14504277293469992,0.06285222289208625,0.10048710909255995,0.10048710909255995,0.0,0.026644397339436982,0.10427357313672903,0.42296669516004776,0.0,0.0,80.38968727404796,8.0,0.17560146930392334,10.667175595075099
WFC,2007-08-17,2022-01-13,14Y 5M 3D,3.130513158605763,1.4916826613566458,0.9347333841528018,47,0.9787234042553191,0.19692114016415174,-0.19854391160317153,0.031737928965035016,0.03674405593390907,-0.19854391160317153,0.04686315544607806,0.07027444740857036,0.7439295297725085,-0.29310884758128597,-0.018985371593338022,8.513112083426979,46.0,0.054137449579244656,4.6429711496209825
UNP,2007-04-12,2022-03-29,14Y 11M 3W 4D,4.541570393806321,1.7813087345149388,11.570566411841925,25,1.0,0.17498373849766147,0.03716578575139218,0.07125234938059755,0.07125234938059755,0.0,0.028891077413672125,0.08215660655434398,0.45863163567174964,0.0,0.0,178.13087345149387,25.0,0.11372221734759122,12.331203222431364
NSC,2007-04-18,2021-12-31,14Y 8M 3W,3.9322417518481396,1.6145166844205423,5.247990743260719,79,1.0,0.04248495240682437,0.008616377430995303,0.02043692005595623,0.02043692005595623,0.0,0.008101314847255342,0.07774668727303435,0.12860438627083715,0.0,0.0,161.45166844205423,79.0,0.3712679532755687,22.42195522249277
ELV,2007-02-01,2022-10-21,15Y 8M 3W 5D,2.764683481687856,1.5122010929320633,6.045660306652196,122,0.9918032786885246,0.04686006671478113,-0.47270876964823483,0.01239509092567265,0.01640421374033304,-0.47270876964823483,0.0448880794942015,0.059916080959182105,0.7125761710377311,-2.1900007340548093,-0.3205263019852539,4.199012140302292,121.0,0.041982993783829525,3.0499913486519654
USB,2022-01-13,2022-01-13,,0.878956361771075,0.878956361771075,0.7352993422461547,1,1.0,0.878956361771075,0.878956361771075,0.878956361771075,0.878956361771075,0.0,0.0,1.0641598041317995e+69,0.0,0.0,0.0,87.89563617710749,1.0,1.0641598041317996e+71,87.89563617710749
PG,2007-08-07,2021-12-29,14Y 4M 4W,0.9337587426569707,0.6683866517163802,2.8099162725730227,28,1.0,0.060006074477686244,0.014709155595095336,0.02387095184701358,0.02387095184701358,0.0,0.009175842029864482,0.03211096871088581,0.14566197648381318,0.0,0.0,66.83866517163803,28.0,0.014492242669248668,13.76584338310119
KMX,2013-09-10,2021-03-09,7Y 6M 2D,2.0929334311302177,1.4122381158140986,1.8373172723468025,3,1.0,0.7595180833196065,0.2889296833204199,0.47074603860469955,0.47074603860469955,0.0,0.25286953193224804,0.10955595531731466,4.014179373828208,0.0,0.0,141.22381158140985,3.0,0.019818734517945674,3.2244139896758304
COP,2008-05-02,2022-11-03,14Y 6M 1W 1D,1.3379309912047699,0.921735774611697,2.2617928141059367,47,0.9787234042553191,0.049436547380114826,-0.2956055154636563,0.01961139945982334,0.026463941088594643,-0.2956055154636563,0.04786282299879845,0.04122244915871209,0.7597987602019407,-0.6880551862121608,-0.08374814778895694,4.1181277966548,46.0,0.014770291485773643,2.809048286399982
