Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
JNJ,2007-01-01,2012-06-30,5Y 6M 2D,0.6803347375267048,0.5255767038872383,2.8917840364978322,22,1.0,0.04035116339894884,0.014069401705652185,0.02388985017669265,0.02388985017669265,0.0,0.0063597232202113165,0.06733516618817137,0.10095747628729207,0.0,0.0,52.55767038872383,22.0,0.36981081105799096,17.619214844519057
SNY,2007-01-01,2018-09-30,11Y 9M 5D,0.2008334125003033,0.1926738355644122,1.196344492281335,2,1.0,0.12982161267232595,0.06285222289208625,0.0963369177822061,0.0963369177822061,0.0,0.04735450964553257,0.010808575123530506,0.7517295358769316,0.0,0.0,19.26738355644122,2.0,-0.025529693806804726,2.8770433207868864
WFC,2007-01-01,2020-09-30,13Y 9M 6D,0.6829584476381749,0.7049921396684972,0.9347333841528018,14,0.9285714285714286,0.3132461728871099,-0.39108454743711707,0.05035658140489265,0.08431359131581648,-0.39108454743711707,0.15242794283508898,0.026470432343887573,2.419718577592891,-0.6128051166181754,-0.043771794044155383,2.802659154621428,13.0,-0.0014586686603958714,1.2361058693165423
UNP,2007-01-01,2009-12-31,3Y,2.71491988614934,1.3403586089329218,11.570566411841925,34,1.0,0.07085098965103609,0.01970039674620616,0.03942231202743888,0.03942231202743888,0.0,0.012199301561251376,0.3525908629088368,0.19365790859851884,0.0,0.0,134.03586089329218,34.0,1.6657768600486893,18.842849638680292
NSC,2007-01-01,2009-12-31,3Y,2.485981158998682,1.277971806318867,5.247990743260719,29,1.0,0.0755065212659094,0.028212615852642564,0.04406799332134024,0.04406799332134024,0.0,0.012101933262731835,0.3329352379260482,0.1921122347777336,0.0,0.0,127.79718063188669,29.0,1.5768659308790638,19.60954515308158
ELV,2007-01-01,2010-03-31,3Y 3M,1.0814177789139476,0.7700757538082511,6.045660306652196,25,0.96,0.07012073360774296,-0.1693976520018302,0.030803030152330043,0.039144725242086724,-0.1693976520018302,0.044742082301422695,0.1686964262694166,0.7102585374524935,-0.7184067680667812,-0.059984167023966785,5.545964744540444,24.0,0.19527597199589242,3.4422883969518083
UNH,2007-04-01,2010-03-31,3Y,0.577873543633928,0.49528097744790356,11.301690359865168,15,0.9333333333333333,0.07811319603110256,-0.1917459359837056,0.03301873182986024,0.04907335095940065,-0.1917459359837056,0.06435063061734965,0.11066666632874878,1.0215345919421162,-2.3463698495528975,-0.3235836106760137,3.583006387629473,14.0,0.07896616224751363,1.987253229115354
USB,2007-04-01,2022-12-31,15Y 9M 1W 1D,1.3005922064666229,1.0829323567050202,0.7352993422461547,2,1.0,0.8162857055664063,0.26664665113861385,0.5414661783525101,0.5414661783525101,0.0,0.38865350259085396,0.03716952214826841,6.169683084177583,0.0,0.0,108.29323567050201,2.0,0.0011620567945629097,1.9702609339367603
PG,2007-04-01,2008-12-31,1Y 9M 5D,0.27061789973841566,0.24200717443114317,2.8099162725730227,12,1.0,0.027343125173378224,0.014420989603507683,0.020167264535928597,0.020167264535928597,0.0,0.004261543558671303,0.0988942327096185,0.06764990674508077,0.0,0.0,24.200717443114318,12.0,1.0183936094579793,16.393462295995526
BAC,2007-04-01,2023-03-31,16Y 3D,0.29681621115255585,2.2293627021585563,-0.20911928345493702,2,0.5,2.896551437659645,-0.667188735501089,1.1146813510792781,2.896551437659645,-0.667188735501089,2.519944842828876,0.011272694074999645,40.00288423034972,0.0,0.0,4.3414273705988204,1.0,-0.00046814889189395414,0.6255682496014577
